transcription,file_name
jau mat ho nang gam gaan daan ge caan ban gwai lou gung si dou jau zung gwok ge gung si zau m teoi ceot,common_voice_yue_31180159
jat hei ji hei saam hei baa si bin go m zi,common_voice_yue_31191904
gam nei haa jat bou ce zau kyut ding hai keoi laa,common_voice_yue_31195627
maai loeng bin ge waa sat gong ngaam jat bun,common_voice_yue_31195929
ji cin tai gong toi tou gwaa waan seng jat ting sing tou gwaa waan,common_voice_yue_31198428
gong zan jyu gu m hai nei fan hoeng nei go siu sik bei ngo ngo dou m zi,common_voice_yue_31198772
mou jan lai mat zai,common_voice_yue_31201763
nei sei sam laa juk m dou ga laa,common_voice_yue_31204716
baan kyun mou man tai ge waa ho ji tai haa baat hou zai sik m sik gaau,common_voice_yue_31204751
ngo gin ji nei cit zo zoeng tou hou di,common_voice_yue_31205174
saang ji zung hai hou lei soeng ge,common_voice_yue_31206062
ling jat go bat sing hei hau,common_voice_yue_31206404
faai tai tau tiu san man,common_voice_yue_31207052
tung jau taai jan hai hing dai,common_voice_yue_31207058
ngo go nin doi zing hai tai fei ceoi toi,common_voice_yue_31207439
gung gaau kei sat hai zyun zi loeng man baa si,common_voice_yue_31208634
zi cin dai sei gwai jau tai gwo gei zaap hau mei mou gang san zau mou tai,common_voice_yue_31208670
nei gong hai zau hai ge waa gam zau hai,common_voice_yue_31208680
gaan tai zing tai ngo gaap zaap lai jung laa jan wai jau di zi jau si hou seon sau gam se zo zing tai,common_voice_yue_31209941
faai cuk on cyun sai jung fong bin,common_voice_yue_31210599
bing m hai dak ce maa paau,common_voice_yue_31211256
daan hai nei ji gaa m hai hai jan dei duk syu ge si hau hok,common_voice_yue_31211559
m wui zap dak hou ge laa,common_voice_yue_31211663
gam zau syun laa,common_voice_yue_31212457
siu bak lou dou di haak jan zung dung aa laai baak jan bei gaau do,common_voice_yue_31217457
dou syun hai gam laa,common_voice_yue_31219046
saam gwok saat jap min noi gaan dong bun go zung san jung,common_voice_yue_31219567
m gwaai dak gam meng fu laa,common_voice_yue_31219738
m zi wo ngo gu jing goi mou mat gei wui ho ji gwo lai waan la,common_voice_yue_31219750
kau dak dou neoi zau m sai daa fei gei laa,common_voice_yue_31219843
gau hai jan leoi ge pang jau,common_voice_yue_31220508
zung gu jyut jyu jat joeng hai lin duk bin diu pan faan,common_voice_yue_31221442
lou gung can zi zyu maai,common_voice_yue_31221461
hai hoi ngoi dim sit ceoi jan si aa,common_voice_yue_31221487
faat siu siu gaau siu tou pin,common_voice_yue_31221516
ngo dei zung gang caam,common_voice_yue_31221537
bak tong jan gong me waa,common_voice_yue_31221589
go din si toi coeng kei ging lik gu dung bin wun dou zi zit muk jyut zou jyut caa seng jat cung bo maai di gau zit muk,common_voice_yue_31221891
sam dai waa lai ge ngo ni geoi,common_voice_yue_31221903
bun loi zau hai sing cin ming hau aa,common_voice_yue_31224116
jyu gu dang ng fan zung dou m dak sin hou syun bou sat baai,common_voice_yue_31224637
ngo teng zo gei ci dou teng dou zo,common_voice_yue_31224653
zeoi zung jiu ge hai hoeng daai zung pou kap jyun lei tung koi nim,common_voice_yue_31224682
bat gwo dou wui zeon lik caam jyu,common_voice_yue_31225105
caa m do nei go ji si,common_voice_yue_31225149
daan hai ngo bun san zau jiu daai ngaan geng zung dim joeng daai kei taa ngaan geng aa,common_voice_yue_31225189
ngo hai mai jiu haau leoi haa heoi hok pin cing,common_voice_yue_31225293
dak haan zoi cai faan caan,common_voice_yue_31225314
gam ci fung zong ge baan bun zaak jam zung daai,common_voice_yue_31225485
m hou gik zau nei go jau gik zau go go,common_voice_yue_31225537
faan zing ji gaa dou m daa bo,common_voice_yue_31225547
jan wai gan ne kwan gwaan hai m daai,common_voice_yue_31227147
waa gam do aa,common_voice_yue_31227306
nei m nan zung ji mai ceot heoi lo,common_voice_yue_31227325
lin juk ge zeoi sam cyu hai lau bei go di hai daai hai daai fei min cin zung bou ci zung laap ge jan,common_voice_yue_31227795
tin hei dung ngo san tai di ngoi lou ge pei fu zou ji sau pei,common_voice_yue_31234554
kei sat gam joeng m co ho ji bei kei taa dei keoi si si,common_voice_yue_31234557
gan paai bei gaau mong ho nang hou naan kap si fuk dou nei,common_voice_yue_31234560
zing fu fuk lei hoeng sau m dou gung zok gei wui bei ngoi lou coeng saai,common_voice_yue_31234563
nei dei sik gwo zou mong,common_voice_yue_31234568
keoi zi hai gei haai jan,common_voice_yue_31236213
ngo kam jat goi hou zo go fan biu,common_voice_yue_31237157
m zi daai luk gong ge se tyun hoeng gong dim gong ne,common_voice_yue_31240478
dou jiu gaa jap go go jing jung soeng dim sin dak,common_voice_yue_31240516
hai jat go lai zi jat go bak gaa zau ge din waa,common_voice_yue_31240550
dou hai ngo teng dou,common_voice_yue_31240563
fai waa hang ding m zi ci laa,common_voice_yue_31240593
ngo wui zoeng ji gin daai heoi zing fu,common_voice_yue_31240888
nei lou mei gong je gaap jing man hou gau faan,common_voice_yue_31241094
ngo jat zou zau hei lai,common_voice_yue_31242799
faan zing daai gaa dou ming baak ge laa,common_voice_yue_31243207
zau saai keoi zau sik faa sang mou nei gam hou hei,common_voice_yue_31243208
