transcription,file_name
mou si m gan jiu,common_voice_yue_32334292
ging keoi m gaau lok heoi,common_voice_yue_32279039
go go bong ngo zing jing pin ge pang jau dou tung ngo tai gwo keoi,common_voice_yue_33273113
mat gwai je gei jik lik,common_voice_yue_31688971
ping jam kaau daa ci daa geoi ho ji gong cung,common_voice_yue_33782106
nei ji wai ngo zan hai gam fu cin me,common_voice_yue_31690752
go go hai jan wai ngo dei nei bin jau kwai faan ge cing nei lei gaai haa,common_voice_yue_31278106
haa jat wai,common_voice_yue_32269732
sik cyun zan soeng hou dai,common_voice_yue_32545938
zan m ming nei soeng biu daat me ji si,common_voice_yue_32991360
gam gaai saan zo me kwan,common_voice_yue_32977410
so ji jyun loi nei hai jau jan sing ga wo,common_voice_yue_32518118
ji gaa waan sou ge waa wui m wui tai sing seon jung,common_voice_yue_32410767
ngo gok dak jiu jiu mou kei,common_voice_yue_32978118
loeng go dou hai gam joeng,common_voice_yue_33096102
zan hai tung ho goi zou ge jan gong sin dak lo,common_voice_yue_32259574
je maan ngo cung loeng go zan,common_voice_yue_31702695
nei go zan hai hou m fong bin,common_voice_yue_32406574
mui tiu pin jaa fan zung,common_voice_yue_32274323
mou zing geoi ge waa zau wui hou ci mou jan zou co je,common_voice_yue_31757955
maa zoeng zi leoi ge,common_voice_yue_33273457
nei jau mou gin dou,common_voice_yue_32980104
m gwaai dak bat dyun sau dou tung zi,common_voice_yue_31355597
ngau jyun tong min loeng go ngoi maai m goi,common_voice_yue_32672601
kei sat ji ging jau gaau cing,common_voice_yue_33073265
keoi dei zyu jiu hai zou jyu jam hap sing ge,common_voice_yue_32327588
keoi dei dou m coi jan ge gam laang mok,common_voice_yue_32261446
dak dang jung tung jam co zi,common_voice_yue_32654779
bin go co gan hai dou,common_voice_yue_31695870
tung gaai min jyu jau gwaan,common_voice_yue_33093451
so ji mai ceot man tai lo,common_voice_yue_32269532
dau hyun gong gam noi,common_voice_yue_32813240
jau di jan ceoi zyu se wui ge hoi fong ceot lai bui zyu zi gei lou po gaau gaau zan ge,common_voice_yue_32255448
baai loeng go neoi jan ceot loi dong zi daan,common_voice_yue_32088684
ngo wui cung ci zau hai nei sang meng zung siu sat,common_voice_yue_31711474
ngo gong sin ga,common_voice_yue_32272106
jyu gu ho ji ge waa,common_voice_yue_32969215
m sik go go zi dim daa,common_voice_yue_31787216
gam je zung mei fan gaau,common_voice_yue_31189878
hou dang go soeng jung co zi biu king dim ngo zau faat,common_voice_yue_33198481
lau sek coeng sik jyut ping,common_voice_yue_33000404
jat zyun toi waan keoi zi dung on zong zyu jam,common_voice_yue_33118348
zi hai bak fong dei keoi ge jan m hai gam tai dak ming,common_voice_yue_33283486
jam wan wai min muk,common_voice_yue_33172511
jau m dai dak jan dei hou,common_voice_yue_32406000
nei gok dak zi gei hai mai hau faai gwo nou,common_voice_yue_32305781
keoi zan hai hou zi ngo tou zeoi,common_voice_yue_37056507
nei seon gei duk,common_voice_yue_32329690
hou ji gaa dak laa,common_voice_yue_32198956
gam ngo jau taai do syut waa mei cang gong,common_voice_yue_32994989
ngo jau jat dyun si gaan hai daai sik zik,common_voice_yue_31696988
ngo m ming ni geoi,common_voice_yue_32997947
hin jin m hai nei soeng jiu ge je,common_voice_yue_34220470
gam ngo mou nei fu,common_voice_yue_37608756
nei go mat je cing fong,common_voice_yue_31750605
nei gei jik lik zung caa gwo ngo,common_voice_yue_31715537
ngo gok dak soeng jung maa m hou jung,common_voice_yue_32269424
nei dei go bin gei dim aa,common_voice_yue_31362121
si haa tung ngo dei zyu nei wui zi,common_voice_yue_32332477
ngo m zung ji gin dou di sai lung lung ci maai jat cai zik haak hei saai gai pei,common_voice_yue_32305612
waa hyun ge hai mat je ji si ne,common_voice_yue_32249695
jam wan wai min muk,common_voice_yue_32992854
ji gaa ge biu naan hok zaap,common_voice_yue_33171305
hai do ze jiu ceng,common_voice_yue_33021639
hoeng cyun ce waak ze pin jyun dei fong ge haak ce nei dei dim giu,common_voice_yue_32407196
hou do jan dou man ngo sip can me ji si zing hai zi dou dung can,common_voice_yue_32336644
ngo teng zo gei ci dou teng dou zo,common_voice_yue_34027888
gu doi fung bai siu di man faa gaau lau,common_voice_yue_32270965
ngo pang jau wui daan hai ngo jat ding mou,common_voice_yue_32270023
gaa go daan jan pong,common_voice_yue_32364161
dang doi haa si si,common_voice_yue_34113037
kok sat hai gam joeng joeng,common_voice_yue_32986413
nei goi zo gam do ci din waa hou maa,common_voice_yue_32968533
nei bun je jau di jau co lau,common_voice_yue_32915193
gaau sei ge ji si,common_voice_yue_32981788
keoi wui wan dai,common_voice_yue_31645479
zi siu keoi dou jau deoi ngo taan baak hai mai,common_voice_yue_32068707
mong soeng jau gwo hou do tou leon,common_voice_yue_32270479
ngo jung sau cam dou wan m faan,common_voice_yue_32406555
jau loek daai caai keoi ge,common_voice_yue_33021503
seon fuk dou gaau gou,common_voice_yue_37233736
loeng sing kei cin,common_voice_yue_36546142
dim gaai jiu gam joeng zou ne,common_voice_yue_33285111
keoi dou m sik zung man ge bat jyu jung jing man hou gwo,common_voice_yue_32271199
si soeng ngo hai san paai cing gam hai gau paai,common_voice_yue_32977862
seon fei syu jap faat hin si jyu sau gei mou faat lin zip,common_voice_yue_32382218
sang pik zi seoi jiu faan caa,common_voice_yue_33258769
so ji nei go neoi zai hai bin go,common_voice_yue_32332239
nei jau mou hai gau hok haau bei jan waan gwo,common_voice_yue_32317366
ngo ji wai ngaam go geoi hai nei gong ge,common_voice_yue_32256203
ngo heoi sik gau baau,common_voice_yue_32270140
lin go jam dou daa m dou zung dim wan dou aa,common_voice_yue_37119583
gwong dung jau gwaat toi fung,common_voice_yue_33121279
jat jat dou m gin keoi duk syu zing hai sik heoi waan,common_voice_yue_32269801
seoi jin gam joeng daan hai ngo hou gwaan zyu nei gin si,common_voice_yue_31956044
jyun bun tung gaa jing man hau ge deoi bei,common_voice_yue_32808025
ho nang ngo m hai hou sik biu daat m hou gaai ji,common_voice_yue_32808057
ngo dou hai gok dak jung biu gaak zik gun di,common_voice_yue_31720096
nei hai mai gok dak ngo jing goi jiu lei gaai nei,common_voice_yue_31720097
tai cing kyun haan zau dak m sai taai gwo git pik,common_voice_yue_31355478
seoi zo zou ding baau gou joeng mou faat zi,common_voice_yue_31355481
ni sau ngo jung din waa luk ge ngo nam zyu zoi luk do di,common_voice_yue_32979622
ji jyut jyu nei go zou syun cyun kei taa ge ngo m wui tai,common_voice_yue_32979672
zi jiu hai jau gwo heoi ceot wai siu siu ge dou wui bei jan zyu saai,common_voice_yue_31723111
faai tai tau tiu san man,common_voice_yue_31723125
ji gaa lau hang jyu tong lou faan me,common_voice_yue_32249852
soeng cong nei go sam,common_voice_yue_32249854
tou haak cung dat dou zi san ning jyun tung hoi ping jyun hou do jan jyun zau au mei,common_voice_yue_32250062
faan saan jyu saan zou sing pun jyu ji zi,common_voice_yue_32250063
ji gaa baa maa zan hai zi bei dou gam do nei,common_voice_yue_31677432
ngo uk kei gaau lok jiu sik jan soeng leng je,common_voice_yue_31677436
daan nei go dou m hai ngo lai zyu ge wai jat jyun jan wo,common_voice_yue_31752731
jau m dai dak jan dei hou,common_voice_yue_31752733
jyun loi hai tung hang,common_voice_yue_32249727
ngo zok wai din nou ceot san nam hei san dou gok dak gei wat dat,common_voice_yue_32249730
gwaan gin hai zi hau ne,common_voice_yue_31268496
ji haa hai ngo faan gwai ge noi jung,common_voice_yue_31268499
ngo gok dak jyut jyu dou jing goi jiu cit laap jau ji ping jam kai mung gaau hok,common_voice_yue_32980180
ngo ci di wui goi tung maai gaa jap gang do fong on,common_voice_yue_32980208
nei seng laa,common_voice_yue_31732155
nei ning zyun faai min bei ngo tai haa ning gwo di,common_voice_yue_31732156
nei go man zoeng se dak hou zung hang daan hai jyu gu bei jan lei jung zo ge waa zau m hou la,common_voice_yue_32268499
keoi zan hai ding m gan heoi dou jat go wai keoi sik faan jiu daai ji gei ga,common_voice_yue_32268504
ping joeng ji gaa seoi jin hoi ci maan maan pou kap zo hung luk dang,common_voice_yue_33361980
hai zau hai go loeng go,common_voice_yue_33362649
jam ho m suk jyu nei ge je m zeon lyun juk,common_voice_yue_31684612
jau kei hai je sik ge sing,common_voice_yue_31684637
dim gaai m ho ji gok dak jau jyut sin,common_voice_yue_36034300
ceoi zo uk zyu ngo dou hai,common_voice_yue_36034508
ngo soeng min tai dou go go,common_voice_yue_32998206
zyu jam ngo m daa syun jung laa noi dei jiu kau gaan tai zi,common_voice_yue_32998256
zyun zung haa jan dei gam lo,common_voice_yue_37050023
nei go gung zung hou paak maai gwong gou,common_voice_yue_37123513
mong soeng ceot jin nei go ci ge man zoeng gei bun mak jing ji si wai lou po,common_voice_yue_33001451
hou ci mou jyut ping,common_voice_yue_33001474
se je taai maa faan jau di m soeng se,common_voice_yue_31195312
dak haan ceot lai king haa gai,common_voice_yue_31195313
jau hai wo jyun loi jat nin dak jat ci saang jat,common_voice_yue_32294446
go di seng jat coeng seoi san wui ge jan gang gaa dat hin zo go zung siu gong mun bun dei zyu ji ge bou faat wu sam taai,common_voice_yue_32294447
zau jam dak nei dei lo,common_voice_yue_31979301
gok zung jyu jin dou jau,common_voice_yue_31979302
mat ngo sik je zan hai jau gam daai sing me,common_voice_yue_32257548
ji laai haak dou jau go hau coi jan,common_voice_yue_32257550
faat mung laa nei,common_voice_yue_32359091
jyu gu jeng zo ngo zau wui heoi sik mak dong lou hing zuk,common_voice_yue_32359094
bat gwo ngo se ge je mei bit hou do,common_voice_yue_33048147
nei gam ci jiu zo soeng mou me,common_voice_yue_33048148
bat gwo nei go diu caa git gwo dou faan jing ceot ji gaa kok sat jau m siu jan hai gam jing wai ge,common_voice_yue_31276813
ngo m gin nei jau se je lo,common_voice_yue_31276814
gwai m zi aa maa hai neoi jan me,common_voice_yue_37012123
zung hai mou sau fuk,common_voice_yue_37012150
ging soeng jung sau se ge jan zau m wui tai bat mong zi,common_voice_yue_32268452
ding hai gong ziu zyu duk zau ho ji laa,common_voice_yue_32268483
mou nei hai dou tung ngo zang ce lei zi,common_voice_yue_31734149
jau mou kei taa jan zyu hai dou,common_voice_yue_31734154
dak jat zung dung mat ngo hai m zung ji m soeng dim dou ge hai sei goek paa paa,common_voice_yue_31663978
jap zo ni gaan hok haau zau mat dou hou gwong sin,common_voice_yue_31663980
nei m hou jat haa jau faat gwok jyu jat haa jau jyut man,common_voice_yue_33176140
